x1,y1,x2,y2,scale,img_id,annorect_id
627,100,706,198,3.02104617640975,1,1
841,145,902,228,2.47211650210907,1,2
607,70,752,255,5.64127645130072,2,3
903,73,1070,263,6.07105130928738,2,4
27,36,186,214,5.72816200888208,2,5
914,79,1031,237,4.71848789338279,3,6
427,66,549,221,4.73408745166373,3,7
252,187,331,266,2.68134891425939,4,8
510,265,580,343,2.51530992126219,4,9
806,56,901,183,3.80640302648051,5,10
609,259,674,335,2.40011999700015,6,11
652,301,716,364,2.15532828126019,6,12
595,79,798,358,8.28086951956134,7,13
260,11,346,143,3.78104747391513,8,14
374,87,467,193,3.38434040841048,8,15
256,99,346,215,3.52367081322873,9,16
116,73,220,190,3.7569775085832,9,17
277,123,327,187,1.94917828840771,10,18
332,125,376,186,1.80511273886148,10,19
327,95,372,160,1.89736659610103,11,20
508,104,559,173,2.05925034903481,11,21
316,105,361,163,1.76183540661436,12,22
495,105,551,172,2.09570990358876,12,23
299,86,391,205,3.60998614955792,13,24
436,116,519,217,3.13748944221331,13,25
302,122,355,197,2.20408348299242,14,26
439,143,540,283,4.1431118739421,15,27
200,127,318,269,4.4311046026922,16,28
211,1,301,101,3.22886977129769,17,29
401,1,471,99,2.89038128972632,18,30
403,145,501,258,3.58982562250592,19,31
973,179,1051,284,3.1392330273492,20,32
601,206,672,305,2.92386593399903,21,33
791,199,864,313,3.24887672896341,22,34
578,109,656,226,3.37479599383429,23,35
538,101,618,213,3.30329290254437,24,36
551,275,634,389,3.38434040841048,25,37
848,327,901,389,1.95758218218291,26,38
358,91,542,305,6.77344461850837,27,39
552,171,667,296,4.07646906035113,28,40
504,145,575,240,2.84640404721466,29,41
211,44,292,150,3.20172953261202,30,42
322,140,390,235,2.80389443453208,31,43
151,109,263,271,4.72672063909007,32,44
302,59,409,178,3.84074992677211,33,45
128,0,218,90,3.05470129472589,34,46
312,65,360,128,1.90085454467195,35,47
435,140,479,207,1.92374634502577,35,48
582,161,621,218,1.65756447838387,35,49
724,160,769,229,1.97705235135542,35,50
834,155,884,225,2.06455806409023,35,51
958,174,1009,244,2.07859952852876,35,52
1073,187,1120,259,2.06358135289113,35,53
183,60,264,181,3.49461757564401,36,54
420,89,504,193,3.20846879367713,36,55
642,55,736,186,3.86966045022041,36,56
170,268,200,302,1.08823526868044,37,57
339,175,371,204,1.03645549832108,37,58
488,177,521,213,1.17207508291918,37,59
653,255,689,289,1.18842416670143,37,60
359,34,500,238,5.95166128068458,38,61
986,28,1195,300,8.23255974773339,39,62
403,15,487,136,3.53517637466648,40,63
